% Model,Untitled.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 26 2026, 11:54"
% Dimension,1
% Nodes,121
% Expressions,1
% Description,Global
% Time (s),Value
0,0.42202844330925227
0.5,8.632589952861068
1,11.955109311132183
1.5,14.402115510802595
2,16.394854838736272
2.5,18.097023805825124
3,19.588781271622857
3.5,20.92097213997112
4,22.12825139750768
4.5,23.23192271058124
5,24.245910052869505
5.5,25.183385634461
6,26.054472358976465
6.5,26.866801291827393
7,27.628297412807424
7.5,28.341445441439614
8,29.00982127404876
8.5,29.637915108367373
9,30.227063130188807
9.5,30.782994651645616
10,31.305803002953823
10.5,31.802392457468823
11,32.270391445639774
11.5,32.70979996746671
12,33.1270935912583
12.5,33.52056969165521
13,33.88913264659563
13.5,34.23574810286551
14,34.56625917548963
14.5,34.8764211791991
15,35.16623411399395
15.5,35.442762230444174
16,35.703597713889394
16.5,35.94786412425493
17,36.177822252727616
17.5,36.396985473416485
18,36.602644494590976
18.5,36.79479931625095
19,36.97837689631563
19.5,37.15134900837777
20,37.313307163788146
20.5,37.46593038211809
21,37.61126640549018
21.5,37.74761808542521
22,37.874985421923185
22.5,37.99683045256651
23,38.11150416634796
23.5,38.218850086914074
24,38.32081028279644
24.5,38.419219858194346
25,38.51241574328864
25.5,38.60039793807939
26,38.68316644256647
26.5,38.76072125674998
27,38.83306238062983
27.5,38.9023040161006
28,38.969224274305944
28.5,39.032046711409535
29,39.09077132741144
29.5,39.145398122311576
30,39.19592709611004
30.5,39.24235824880675
31,39.287357078385504
31.5,39.33144561732515
32,39.372728829001524
32.5,39.4112067134145
33,39.44687927056413
33.5,39.47974650045046
34,39.50980840307341
34.5,39.539159399227344
35,39.56789988821485
35.5,39.59477355238016
36,39.61978039172334
36.5,39.64292040624431
37,39.664193595943075
37.5,39.6835999608197
38,39.702679670767004
38.5,39.72130873317907
39,39.73871196467659
39.5,39.75488936525947
40,39.76984093492777
40.5,39.78356667368146
41,39.796066581520535
41.5,39.808440270808525
42,39.8204754088514
42.5,39.8317116413399
43,39.84214896827408
43.5,39.85178738965388
44,39.860626905479386
44.5,39.86866751575055
45,39.876933647539815
45.5,39.885125539788206
46,39.892891008152596
46.5,39.90023005263295
47,39.90714267322937
47.5,39.91362886994176
48,39.919688642770126
48.5,39.925321991714505
49,39.93052891677492
49.5,39.93530941795128
50,39.93966349524371
50.5,39.94359114865205
51,39.94777908718115
51.5,39.951941399020235
52,39.95582798005739
52.5,39.959438830292676
53,39.96277394972606
53.5,39.96583333835759
54,39.968616996187166
54.5,39.971124923214894
55,39.973357119440635
55.5,39.97531358486453
56,39.97699431948651
56.5,39.97839932330661
57,39.9801577809557
57.5,39.982007730939365
58,39.983720019915815
58.5,39.98529464788491
59,39.98673161484676
59.5,39.988030920801314
60,39.98919256574856
